category,ติดเชื้อสะสม
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,1
2020-01-13,1
2020-01-14,1
2020-01-15,1
2020-01-16,1
2020-01-17,2
2020-01-18,2
2020-01-19,2
2020-01-20,2
2020-01-21,2
2020-01-22,4
2020-01-23,4
2020-01-24,5
2020-01-25,6
2020-01-26,8
2020-01-27,8
2020-01-28,14
2020-01-29,14
2020-01-30,14
2020-01-31,19
2020-02-01,19
2020-02-02,19
2020-02-03,19
2020-02-04,25
2020-02-05,25
2020-02-06,25
2020-02-07,25
2020-02-08,32
2020-02-09,32
2020-02-10,32
2020-02-11,33
2020-02-12,33
2020-02-13,33
2020-02-14,33
2020-02-15,34
2020-02-16,34
2020-02-17,35
2020-02-18,35
2020-02-19,35
2020-02-20,35
2020-02-21,35
2020-02-22,35
2020-02-23,35
2020-02-24,35
2020-02-25,37
2020-02-26,40
2020-02-27,40
2020-02-28,41
2020-02-29,42
2020-03-01,42
2020-03-02,43
2020-03-03,43
2020-03-04,43
2020-03-05,47
2020-03-06,48
2020-03-07,50
2020-03-08,50
2020-03-09,50
2020-03-10,53
2020-03-11,59
2020-03-12,70
2020-03-13,75
2020-03-14,82
2020-03-15,114
2020-03-16,147